LATITUDE,LONGITUDE,CI,TAC,LCRID,ENODEB_ID,IBS_STATUS
21.007295,105.796593,12.0,1138.0,12.0,111030.0,1.0
21.03577,105.78208,11.0,1136.0,11.0,111031.0,1.0
21.03577,105.78208,12.0,1136.0,12.0,111031.0,1.0
21.011317,105.84933,11.0,1141.0,11.0,111069.0,1.0
21.011317,105.84933,12.0,1141.0,12.0,111069.0,1.0
21.011317,105.84933,51.0,1141.0,51.0,111069.0,1.0
21.011317,105.84933,52.0,1141.0,52.0,111069.0,1.0
20.995439,105.868582,11.0,1143.0,11.0,111068.0,1.0
20.995439,105.868582,12.0,1143.0,12.0,111068.0,1.0
20.995439,105.868582,13.0,1143.0,13.0,111068.0,1.0
20.995439,105.868582,53.0,1143.0,53.0,111068.0,1.0
20.995439,105.868582,51.0,1143.0,51.0,111068.0,1.0
20.995439,105.868582,52.0,1143.0,52.0,111068.0,1.0
21.024359,105.848047,11.0,1195.0,11.0,111081.0,1.0
21.024359,105.848047,12.0,1195.0,12.0,111081.0,1.0
21.024359,105.848047,13.0,1195.0,13.0,111081.0,1.0
21.002897,105.814726,11.0,1133.0,11.0,111183.0,1.0
21.002897,105.814726,12.0,1133.0,12.0,111183.0,1.0
21.002897,105.814726,13.0,1133.0,13.0,111183.0,1.0
21.002897,105.814726,51.0,1133.0,51.0,111183.0,1.0
21.002897,105.814726,52.0,1133.0,52.0,111183.0,1.0
21.002897,105.814726,53.0,1133.0,53.0,111183.0,1.0
21.017454,105.783182,12.0,1150.0,12.0,111142.0,1.0
21.017454,105.783182,11.0,1150.0,11.0,111142.0,1.0
21.017454,105.783182,13.0,1150.0,13.0,111142.0,1.0
21.017454,105.783182,51.0,1150.0,51.0,111142.0,1.0
21.017454,105.783182,52.0,1150.0,52.0,111142.0,1.0
21.017454,105.783182,53.0,1150.0,53.0,111142.0,1.0
20.979167,105.785486,12.0,1144.0,12.0,111079.0,1.0
20.979167,105.785486,11.0,1144.0,11.0,111079.0,1.0
21.2178,105.792,12.0,1167.0,12.0,111124.0,1.0
21.2178,105.792,11.0,1167.0,11.0,111124.0,1.0
21.2178,105.792,13.0,1167.0,13.0,111124.0,1.0
21.2178,105.792,53.0,1167.0,53.0,111124.0,1.0
21.2178,105.792,51.0,1167.0,51.0,111124.0,1.0
21.2178,105.792,52.0,1167.0,52.0,111124.0,1.0
21.214663,105.804458,31.0,1167.0,31.0,111122.0,1.0
21.214663,105.804458,32.0,1167.0,32.0,111122.0,1.0
21.214663,105.804458,33.0,1167.0,33.0,111122.0,1.0
21.214663,105.804458,34.0,1167.0,34.0,111122.0,1.0
21.214663,105.804458,35.0,1167.0,35.0,111122.0,1.0
21.214663,105.804458,54.0,1167.0,54.0,111122.0,1.0
21.214663,105.804458,55.0,1167.0,55.0,111122.0,1.0
21.214663,105.804458,11.0,1167.0,11.0,111122.0,1.0
21.214663,105.804458,12.0,1167.0,12.0,111122.0,1.0
21.214663,105.804458,51.0,1167.0,51.0,111122.0,1.0
21.214663,105.804458,52.0,1167.0,52.0,111122.0,1.0
21.214663,105.804458,53.0,1167.0,53.0,111122.0,1.0
21.214663,105.804458,13.0,1167.0,13.0,111122.0,1.0
21.214663,105.804458,14.0,1167.0,14.0,111122.0,1.0
